track_id,track_name,artist_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_seg,genre,positividad
2EfV3zPG99zouxG6CRMDqE,Canción de Cuna - Después - Ferro 2014 en Vivo,Ciro y los Persas,40,0.388,0.494,7,-6.713,1,0.0427,0.933,1.05e-06,0.955,0.254,72.384,323.253,0,0.0
1M0Aue2JfUTqua8yBLWhxl,Fantasma - Después - Ferro 2014 en Vivo,Ciro y los Persas,25,0.547,0.979,9,-4.028,0,0.148,0.0483,0.0103,0.914,0.288,125.968,305.24,0,0.18698613158451657
4GLgSVPJRVOvafTzriOAoM,You Gotta Move - Después - Ferro 2014 en Vivo,Ciro y los Persas,14,0.43,0.601,9,-7.045,1,0.0512,0.634,0.011,0.655,0.451,86.978,160.88,0,0.21594071153343045
1Vprj6IQg1XRnt0TZQc8II,Astros - Después - Ferro 2014 en Vivo,Ciro y los Persas,20,0.437,0.949,0,-3.815,1,0.0572,0.0551,0.0048,0.954,0.375,148.074,253.72,0,0.0
33QVriY7iNJPqHCR9qOHo8,Cruel - Después - Ferro 2014 en Vivo,Ciro y los Persas,22,0.212,0.985,2,-3.489,1,0.122,0.00449,0.0953,0.96,0.25,160.265,360.173,0,0.0
2zSJcpUINjaoBaRFLNAJMv,Noche de Hoy - Después - Ferro 2014 en Vivo,Ciro y los Persas,18,0.548,0.918,2,-4.042,1,0.12,0.388,0.00035,0.832,0.326,105.933,280.187,0,0.0
1YYhL4KGVRGj5qkmwLgVlD,Himno Nacional Argentino - Después - Ferro 2014 en Vivo,Ciro y los Persas,27,0.274,0.713,0,-7.664,1,0.131,0.907,0.95,0.88,0.286,67.881,95.387,0,0.13342287316415982
6iVP8SnhHnFNy7WYrIw1JB,Astros,Ciro y los Persas,61,0.558,0.851,0,-6.201,1,0.0371,0.0249,0.000323,0.0891,0.678,147.965,252.819,0,0.0
2WdUGOhRfNTueQAWpmmyh6,Caminando,Ciro y los Persas,49,0.666,0.811,2,-5.245,1,0.0305,0.0829,0.0,0.12,0.832,112.003,280.192,0,0.0
67Q93kXygxCskeQiIP0V0j,Me Gusta,Ciro y los Persas,66,0.643,0.813,2,-5.976,1,0.0272,0.0204,5.48e-05,0.131,0.706,131.997,289.654,0,0.0
6uOHsq2WOGNh10BveknPGZ,Murgueros,Ciro y los Persas,29,0.739,0.858,4,-6.837,0,0.0451,0.0311,8.89e-06,0.717,0.727,112.991,300.023,0,0.2110257834259014
0WuKq2LiraBFney78dzwoc,Mírenla,Ciro y los Persas,65,0.632,0.717,2,-6.924,1,0.0272,0.0253,0.000661,0.191,0.832,161.011,256.191,0,0.0
49einNPAfEj7geS2yzV0xu,Barón Rojo,Ciro y los Persas,41,0.538,0.87,9,-6.946,0,0.0375,0.00139,0.00673,0.139,0.409,137.046,285.957,0,0.0
0I5ONgUb6qjCfQ2cVvlGwK,Ciudad Animal,Ciro y los Persas,39,0.555,0.828,2,-6.899,1,0.0479,0.276,3.74e-05,0.106,0.526,139.608,314.384,0,0.0
